,Unnamed: 0,Unnamed: 0.1,Name,Team,Pos,Nationality,CTteam,Height,Weight,MinutesPlayedPG,ptsPG,rebPG,astPG,toPG,stlPG,blkPG,pfPG,TotalGames,TotalMinutesPlayed,2ptsPercentage,3ptsPercentage,ftPercentage,fgPercentage,2ptsM_PG,2ptsA_PG,3ptsM_PG,3ptsA_PG,ftM_PG,ftA_PG,fgM_PG,fgA_PG,Totalpts,TotalREB,TotalAst,TotalTO,TotalSTL,TotalBLK,TotalPF,EFF,eFG,TS,TOV,C,F,G,pts_25min,reb_25min,ast_25min,to_25min,stl_25min,blk_25min,pf_25min,2ptsM_25min,2ptsA_25min,3ptsM_25min,3ptsA_25min,ftM_25min,ftA_25min,fgM_25min,fgA_25min,tsne_pos
127,127,127,鐘嘉衡,臺北達欣工程,G,1,0,175,77,7,1.3,0.3,0.6,0.6,0.3,0.1,0.6,8,55,0.25,0.25,1.0,0.25,0.3,1.0,0.1,0.5,0.4,0.4,0.4,1.5,10,2,5,5,2,1,5,0.9,0.3,0.38782816200000003,0.263620387,0,0,1,4.642857142857143,1.0714285714285714,2.142857142857143,2.142857142857143,1.0714285714285714,0.35714285714285715,2.142857142857143,1.0714285714285714,3.5714285714285716,0.35714285714285715,1.7857142857142858,1.4285714285714286,1.4285714285714286,1.4285714285714286,5.357142857142857,2
128,128,128,梅奧,臺北達欣工程,G,0,0,193,98,28,22.6,7.3,4.3,3.0,1.6,0.2,2.1,33,938,0.473,0.3677,0.8142,0.4334,5.3,11.2,2.5,6.8,4.5,5.5,7.8,18.0,745,242,143,98,52,6,70,21.8,0.502777778,0.55337904,0.128095645,0,0,1,20.178571428571427,6.517857142857143,3.8392857142857144,2.6785714285714284,1.4285714285714286,0.17857142857142858,1.875,4.732142857142857,10.0,2.232142857142857,6.071428571428571,4.017857142857143,4.910714285714286,6.964285714285714,16.071428571428573,0
129,129,129,麥克連,臺北達欣工程,C,0,0,211,112,30,17.8,13.6,0.6,1.7,0.3,2.6,1.9,36,1077,0.6059,0.0,0.593,0.6031,7.5,12.3,0.0,0.1,2.8,4.8,7.5,12.4,640,491,23,61,11,93,68,26.3,0.60483871,0.613285557,0.10486059699999999,1,0,0,14.833333333333334,11.333333333333334,0.5,1.4166666666666667,0.25,2.1666666666666665,1.5833333333333333,6.25,10.25,0.0,0.08333333333333333,2.3333333333333335,4.0,6.25,10.333333333333334,0
130,130,130,賀夫,台灣啤酒,F,0,0,203,100,33,20.4,10.0,2.9,2.8,1.4,3.0,3.0,53,1754,0.4906,0.3295,0.7191,0.4582,6.4,13.0,1.1,3.3,4.4,6.1,7.5,16.3,1080,528,153,149,76,161,159,24.4,0.493865031,0.537294564,0.128534704,0,1,0,15.454545454545453,7.575757575757576,2.196969696969697,2.121212121212121,1.0606060606060606,2.272727272727273,2.272727272727273,4.848484848484849,9.848484848484848,0.8333333333333335,2.5,3.333333333333334,4.621212121212121,5.681818181818182,12.348484848484848,0
131,131,131,奈維爾,裕隆納智捷,C,0,0,218,120,33,17.8,12.1,1.8,1.7,0.6,1.4,2.4,104,3471,0.532,0.3522,0.7418,0.4936,6.0,11.3,1.1,3.1,2.6,3.5,7.1,14.3,1852,1257,183,180,65,148,247,23.9,0.534965035,0.561868687,0.096921323,1,0,0,13.484848484848484,9.166666666666666,1.3636363636363635,1.2878787878787878,0.45454545454545453,1.0606060606060606,1.8181818181818181,4.545454545454546,8.56060606060606,0.8333333333333335,2.3484848484848486,1.9696969696969697,2.6515151515151514,5.378787878787879,10.833333333333334,0
132,132,132,拉莫斯,金門酒廠,C,0,0,221,125,39,25.6,16.5,3.0,5.2,0.4,1.7,2.4,29,1133,0.57,0.3506,0.6081,0.5407,9.8,17.2,0.9,2.7,3.1,5.1,10.8,19.9,741,479,88,152,13,49,69,30.9,0.565326633,0.5780346820000001,0.19016969,1,0,0,16.41025641025641,10.576923076923077,1.9230769230769231,3.3333333333333335,0.2564102564102564,1.0897435897435896,1.5384615384615385,6.282051282051283,11.025641025641026,0.5769230769230769,1.7307692307692308,1.9871794871794872,3.2692307692307687,6.923076923076923,12.756410256410255,0
133,133,133,李恩,台灣啤酒,C,0,0,215,125,33,16.3,13.9,1.1,2.8,0.8,0.8,2.8,88,2879,0.5366,0.0,0.5821,0.5361,6.6,12.3,0.0,0.0,3.1,5.3,6.6,12.3,1431,1225,99,244,72,71,243,22.2,0.5365853660000001,0.55699836,0.16062414,1,0,0,12.348484848484848,10.530303030303031,0.8333333333333335,2.121212121212121,0.6060606060606061,0.6060606060606061,2.121212121212121,5.0,9.318181818181818,0.0,0.0,2.3484848484848486,4.015151515151516,5.0,9.318181818181818,0
134,134,134,陳世念,裕隆納智捷,G,1,1,180,85,25,7.8,3.0,3.8,2.5,1.3,0.2,2.2,343,8678,0.4561,0.33399999999999996,0.7585,0.4008,1.7,3.7,1.0,3.1,1.4,1.8,2.7,6.7,2675,1045,1299,846,436,56,754,9.2,0.47761194,0.520555259,0.25020016,0,0,1,7.8,3.0,3.8,2.5,1.3,0.2,2.2,1.7,3.7,1.0,3.1,1.4,1.8,2.7,6.7,2
135,135,135,吳宥達,臺北達欣工程,G,1,0,171,70,2,0.3,0.3,0.2,0.0,0.0,0.0,0.0,6,10,0.25,0.0,0.0,0.2,0.2,0.7,0.0,0.2,0.0,0.0,0.2,0.8,2,2,1,0,0,0,0,0.2,0.25,0.1875,0.0,0,0,1,3.75,3.75,2.5,0.0,0.0,0.0,0.0,2.5,8.75,0.0,2.5,0.0,0.0,2.5,10.0,6
136,136,136,岳瀛立,臺北達欣工程,F,1,0,196,90,15,4.9,2.3,0.8,0.8,0.7,0.6,2.3,370,5538,0.4529,0.3211,0.7045,0.3864,1.1,2.3,0.8,2.4,0.5,0.7,1.8,4.7,1795,849,288,312,246,219,858,5.4,0.46808510600000003,0.48921725200000005,0.137741047,0,1,0,8.166666666666668,3.833333333333333,1.3333333333333333,1.3333333333333333,1.1666666666666667,1.0,3.833333333333333,1.8333333333333335,3.833333333333333,1.3333333333333333,4.0,0.8333333333333334,1.1666666666666667,3.0,7.833333333333333,3
